Node,ElapsedTime,EpochTime,CPUFrequency,CPUTime,CPUUtilization,Util,NodePower,Run,Progress, Counter
ns55,0,1493997767,2601000,0.000000,0.000000,0,48,0,0, 1
ns55,5,1493997772,2601000,0.390000,7.800000,0.4875,84,0,5, 1
ns55,15,1493997782,1300500,1.010000,20.200000,1.2625,63,0,15, 1
ns55,25,1493997792,650250,0.990000,19.800000,1.2375,69,0,25, 1
ns55,35,1493997802,520200,0.980000,19.600000,1.225,63,0,35, 1
ns55,45,1493997812,371571,0.970000,19.400000,1.2125,69,0,45, 1
ns55,55,1493997822,289000,0.990000,19.800000,1.2375,63,0,55, 1
ns55,70,1493997837,216750,0.970000,19.400000,1.2125,57,0,70, 1
ns55,80,1493997847,185785,0.950000,19.000000,1.1875,57,0,80, 2
ns55,90,1493997857,162562,0.930000,18.600000,1.1625,48,0,90, 1
ns55,100,1493997867,289000,0.910000,18.200000,1.1375,57,0,100, 1
ns55,110,1493997877,260100,0.940000,18.800000,1.175,66,0,110, 1
ns55,120,1493997887,354681,1.000000,20.000000,1.25,63,0,120, 1
ns55,130,1493997897,1362428,12.110000,242.200000,15.1375,144,1,9.5, 1
ns55,140,1493997907,1852767,16.410000,328.200000,20.5125,189,1,19.5, 1
ns55,150,1493997917,2080800,16.120000,322.400000,20.15,84,1,29.5, 1
ns55,160,1493997927,2186347,16.140000,322.800000,20.175,123,1,39.5, 1
ns55,175,1493997942,2293354,16.340000,326.800000,20.425,129,1,54.5, 1
ns55,185,1493997952,2327835,16.190000,323.800000,20.2375,69,1,64.5, 1
ns55,195,1493997962,2362661,16.240000,324.800000,20.3,84,1,74.5, 1
ns55,205,1493997972,2380420,15.850000,317.000000,19.8125,57,1,84.5, 1
ns55,215,1493997982,2394571,16.040000,320.800000,20.05,72,1,94.5, 1
ns55,225,1493997992,2406112,15.570000,311.400000,19.4625,165,1,104.5, 1
ns55,235,1493998002,2421620,15.340000,306.800000,19.175,174,1,114.5, 1
ns55,245,1493998012,2433792,27.040000,540.800000,33.8,180,2,4, 1
ns55,255,1493998022,2456500,44.450000,889.000000,55.5625,150,2,14, 1
ns55,265,1493998032,2475494,48.230000,964.600000,60.2875,93,2,24, 1
ns55,280,1493998047,2496402,48.500000,970.000000,60.625,90,2,39, 1
ns55,290,1493998057,2508327,48.300000,966.000000,60.375,192,2,49, 1
ns55,300,1493998067,2515039,47.640000,952.800000,59.55,192,2,59, 2
ns55,310,1493998077,2517747,45.840000,916.800000,57.3,138,2,69, 1
ns55,320,1493998087,2522322,46.710000,934.200000,58.3875,180,2,79, 1
ns55,330,1493998097,2526258,47.140000,942.800000,58.925,135,2,89, 1
ns55,340,1493998107,2531613,47.260000,945.200000,59.075,189,2,99, 1
ns55,350,1493998117,2534449,47.240000,944.800000,59.05,207,2,109, 1
ns55,360,1493998127,2536927,47.770000,955.400000,59.7125,168,2,119, 1
