Step,Node,ElapsedTime,EpochTime,NodePower,CPUPower,RAMPower
batch,ns55,0,1493997767,48,42,14
batch,ns55,5,1493997772,84,74,15
batch,ns55,9,1493997776,75,56,18
batch,ns55,15,1493997782,63,51,16
batch,ns55,19,1493997786,75,63,19
batch,ns55,25,1493997792,69,62,16
batch,ns55,29,1493997796,63,51,15
batch,ns55,35,1493997802,63,48,16
batch,ns55,39,1493997806,69,63,20
batch,ns55,45,1493997812,69,63,19
batch,ns55,49,1493997816,66,51,20
batch,ns55,55,1493997822,63,48,17
batch,ns55,59,1493997826,69,57,20
batch,ns55,66,1493997833,57,38,14
batch,ns55,70,1493997837,57,48,17
batch,ns55,76,1493997843,60,40,17
batch,ns55,80,1493997847,57,40,14
batch,ns55,84,1493997851,57,49,14
batch,ns55,90,1493997857,48,43,14
batch,ns55,94,1493997861,57,47,14
batch,ns55,100,1493997867,57,32,14
batch,ns55,104,1493997871,141,24,12
batch,ns55,110,1493997877,66,57,15
batch,ns55,114,1493997881,57,46,16
batch,ns55,120,1493997887,63,54,15
batch,ns55,124,1493997891,78,25,11
batch,ns55,130,1493997897,144,98,19
batch,ns55,134,1493997901,105,82,15
batch,ns55,140,1493997907,189,73,14
batch,ns55,144,1493997911,84,114,19
batch,ns55,150,1493997917,84,129,19
batch,ns55,154,1493997921,114,68,15
batch,ns55,160,1493997927,123,80,14
batch,ns55,164,1493997931,84,114,19
batch,ns55,171,1493997938,66,58,14
batch,ns55,175,1493997942,129,77,15
batch,ns55,181,1493997948,108,78,15
batch,ns55,185,1493997952,69,57,14
batch,ns55,191,1493997958,87,63,13
batch,ns55,195,1493997962,84,101,16
batch,ns55,199,1493997966,93,75,18
batch,ns55,205,1493997972,57,25,11
batch,ns55,209,1493997976,177,71,13
batch,ns55,215,1493997982,72,125,17
batch,ns55,219,1493997986,84,27,13
batch,ns55,225,1493997992,165,23,9
batch,ns55,229,1493997996,60,72,15
batch,ns55,235,1493998002,174,54,15
batch,ns55,239,1493998006,147,54,14
batch,ns55,245,1493998012,180,136,17
batch,ns55,249,1493998016,108,115,17
batch,ns55,255,1493998022,150,161,20
batch,ns55,259,1493998026,147,168,19
batch,ns55,265,1493998032,93,167,19
batch,ns55,269,1493998036,171,176,17
batch,ns55,276,1493998043,201,164,17
batch,ns55,280,1493998047,90,145,18
batch,ns55,286,1493998053,204,105,17
batch,ns55,290,1493998057,192,157,20
batch,ns55,296,1493998063,165,153,19
batch,ns55,300,1493998067,192,80,17
batch,ns55,304,1493998071,171,165,20
batch,ns55,310,1493998077,138,166,19
batch,ns55,314,1493998081,192,71,14
batch,ns55,320,1493998087,180,43,11
batch,ns55,324,1493998091,144,170,17
batch,ns55,330,1493998097,135,169,19
batch,ns55,334,1493998101,207,137,19
batch,ns55,340,1493998107,189,144,20
batch,ns55,344,1493998111,126,150,17
batch,ns55,350,1493998117,207,144,19
batch,ns55,354,1493998121,174,140,20
batch,ns55,360,1493998127,168,129,21
batch,ns55,364,1493998131,186,140,21
batch,ns55,370,1493998137,174,152,21
batch,ns55,374,1493998141,174,175,20
batch,ns55,381,1493998148,159,175,20
batch,ns55,385,1493998152,186,148,20
batch,ns55,391,1493998158,150,163,20
batch,ns55,395,1493998162,207,161,20
batch,ns55,401,1493998168,198,164,20
batch,ns55,405,1493998172,198,160,21
batch,ns55,409,1493998176,210,182,20
batch,ns55,415,1493998182,222,168,20
batch,ns55,419,1493998186,189,163,20
batch,ns55,425,1493998192,207,133,17
batch,ns55,429,1493998196,210,171,19
batch,ns55,435,1493998202,207,172,20
batch,ns55,439,1493998206,192,159,20
batch,ns55,445,1493998212,204,174,19
batch,ns55,449,1493998216,183,174,20
batch,ns55,455,1493998222,213,179,20
batch,ns55,459,1493998226,174,176,20
batch,ns55,465,1493998232,192,176,20
batch,ns55,469,1493998236,216,175,20
batch,ns55,475,1493998242,198,171,20
batch,ns55,479,1493998246,192,170,20
batch,ns55,486,1493998253,216,156,20
batch,ns55,490,1493998257,204,174,21
batch,ns55,496,1493998263,201,169,19
batch,ns55,500,1493998267,210,181,20
batch,ns55,506,1493998273,177,182,18
batch,ns55,510,1493998277,219,169,21
