Step,Node,Series,ElapsedTime,EpochTime,CPUFrequency,CPUTime,CPUUtilization,RSS,VMSize,Pages,ReadMB,WriteMB
batch,ns55,0,0,1493997767,2601000,0.000000,0.000000,3108,298624,0,0.000000,0.000000
batch,ns55,0,5,1493997772,2601000,0.390000,7.800000,15304,413688,2,0.490919,0.002621
batch,ns55,0,10,1493997777,0,0.640000,12.800000,15304,413688,2,0.279597,0.000000
batch,ns55,0,15,1493997782,1300500,1.010000,20.200000,15304,413688,2,0.279300,0.000000
batch,ns55,0,20,1493997787,867000,0.970000,19.400000,15304,413688,2,0.279232,0.000000
batch,ns55,0,25,1493997792,650250,0.990000,19.800000,15304,413688,2,0.279174,0.000000
batch,ns55,0,30,1493997797,650250,0.910000,18.200000,15304,413688,2,0.273749,0.000000
batch,ns55,0,35,1493997802,520200,0.980000,19.600000,15304,413688,2,0.279433,0.000000
batch,ns55,0,40,1493997807,433500,0.950000,19.000000,15304,413688,2,0.279537,0.000000
batch,ns55,0,45,1493997812,371571,0.970000,19.400000,15304,413688,2,0.279682,0.000000
batch,ns55,0,50,1493997817,325125,0.880000,17.600000,15304,413688,2,0.279621,0.000000
batch,ns55,0,55,1493997822,289000,0.990000,19.800000,15304,413688,2,0.279366,0.000000
batch,ns55,0,60,1493997827,260100,0.940000,18.800000,15304,413688,2,0.279511,0.000000
batch,ns55,0,65,1493997832,236454,0.960000,19.200000,15304,413688,2,0.279734,0.000000
batch,ns55,0,70,1493997837,216750,0.970000,19.400000,15304,413688,2,0.274086,0.000000
batch,ns55,0,75,1493997842,200076,0.940000,18.800000,15304,413688,2,0.279516,0.000000
batch,ns55,0,80,1493997847,185785,0.950000,19.000000,15304,413688,2,0.279507,0.000000
batch,ns55,0,85,1493997852,173400,0.950000,19.000000,15304,413688,2,0.279587,0.000000
batch,ns55,0,90,1493997857,162562,0.930000,18.600000,15304,413688,2,0.279503,0.000000
batch,ns55,0,95,1493997862,306000,1.040000,20.800000,15304,413688,2,0.279608,0.000000
batch,ns55,0,100,1493997867,289000,0.910000,18.200000,15304,413688,2,0.279958,0.000000
batch,ns55,0,105,1493997872,273789,0.950000,19.000000,15304,413688,2,0.280206,0.000000
batch,ns55,0,110,1493997877,260100,0.940000,18.800000,15304,413688,2,0.274915,0.000000
batch,ns55,0,115,1493997882,247714,0.970000,19.400000,15304,413688,2,0.280381,0.000000
batch,ns55,0,120,1493997887,354681,1.000000,20.000000,15304,413688,2,0.280342,0.000000
batch,ns55,0,125,1493997892,867000,7.990000,159.800000,40268,679868,2,1.100009,0.003293
batch,ns55,0,130,1493997897,1362428,12.110000,242.200000,40268,679868,2,0.856889,0.000000
batch,ns55,0,135,1493997902,1642736,14.770000,295.400000,40684,679868,2,0.855149,0.000000
batch,ns55,0,140,1493997907,1852767,16.410000,328.200000,40996,679868,2,0.856802,0.000000
batch,ns55,0,145,1493997912,1987280,16.050000,321.000000,41516,679868,2,0.857993,0.000000
batch,ns55,0,150,1493997917,2080800,16.120000,322.400000,41516,679868,2,0.848168,0.000000
batch,ns55,0,155,1493997922,2149586,16.290000,325.800000,41516,679868,2,0.858608,0.000000
batch,ns55,0,160,1493997927,2186347,16.140000,322.800000,41516,679868,2,0.858951,0.000000
batch,ns55,0,165,1493997932,2229428,16.300000,326.000000,41516,679868,2,0.859018,0.000000
batch,ns55,0,170,1493997937,2264400,16.210000,324.200000,41620,679868,2,0.858365,0.000000
batch,ns55,0,175,1493997942,2293354,16.340000,326.800000,41932,679868,2,0.858768,0.000000
batch,ns55,0,180,1493997947,2306305,16.220000,324.400000,42868,679868,2,0.856532,0.000000
batch,ns55,0,185,1493997952,2327835,16.190000,323.800000,43388,679868,2,0.856652,0.000000
batch,ns55,0,190,1493997957,2346434,16.140000,322.800000,43492,679868,2,0.844942,0.000000
batch,ns55,0,195,1493997962,2362661,16.240000,324.800000,43596,679868,2,0.855524,0.000000
batch,ns55,0,200,1493997967,2376943,16.040000,320.800000,43596,679868,2,0.853429,0.000000
batch,ns55,0,205,1493997972,2380420,15.850000,317.000000,43596,679868,2,0.852815,0.000000
batch,ns55,0,210,1493997977,2383525,15.980000,319.600000,43596,679868,2,0.853417,0.000000
batch,ns55,0,215,1493997982,2394571,16.040000,320.800000,43596,679868,2,0.855652,0.000000
batch,ns55,0,220,1493997987,2404549,16.120000,322.400000,43596,679868,2,0.855278,0.000000
batch,ns55,0,225,1493997992,2406112,15.570000,311.400000,43596,679868,2,0.856370,0.000000
batch,ns55,0,230,1493997997,2414187,15.250000,305.000000,43596,679868,2,0.853795,0.000000
batch,ns55,0,235,1493998002,2421620,15.340000,306.800000,43596,679868,2,0.852537,0.000000
batch,ns55,0,240,1493998007,2422305,15.970000,319.400000,43596,679868,2,0.845321,0.000000
batch,ns55,0,245,1493998012,2433792,27.040000,540.800000,80228,1019556,2,1.940589,0.005021
batch,ns55,0,250,1493998017,2448000,39.020000,780.400000,80228,1019556,2,1.737796,0.000000
batch,ns55,0,255,1493998022,2456500,44.450000,889.000000,80228,1019556,2,1.737381,0.000000
batch,ns55,0,260,1493998027,2469065,48.450000,969.000000,80228,1019556,2,1.736719,0.000000
batch,ns55,0,265,1493998032,2475494,48.230000,964.600000,80228,1019556,2,1.733388,0.000000
batch,ns55,0,270,1493998037,2484776,48.140000,962.800000,80228,1019556,2,1.731190,0.000000
batch,ns55,0,275,1493998042,2492780,48.390000,967.800000,80228,1019556,2,1.731906,0.000000
batch,ns55,0,280,1493998047,2496402,48.500000,970.000000,80228,1019556,2,1.735318,0.000000
batch,ns55,0,285,1493998052,2502725,48.210000,964.200000,80228,1019556,2,1.727293,0.000000
batch,ns55,0,290,1493998057,2508327,48.300000,966.000000,80748,1019556,2,1.725870,0.000000
batch,ns55,0,295,1493998062,2513325,48.220000,964.400000,81268,1019556,2,1.729417,0.000000
batch,ns55,0,300,1493998067,2515039,47.640000,952.800000,81788,1019556,2,1.735095,0.000000
batch,ns55,0,305,1493998072,2516500,46.920000,938.400000,81892,1019556,2,1.733324,0.000000
batch,ns55,0,310,1493998077,2517747,45.840000,916.800000,81892,1019556,2,1.734434,0.000000
batch,ns55,0,315,1493998082,2521303,46.480000,929.600000,81892,1019556,2,1.734455,0.000000
batch,ns55,0,320,1493998087,2522322,46.710000,934.200000,81892,1019556,2,1.732832,0.000000
batch,ns55,0,325,1493998092,2523258,46.900000,938.000000,81892,1019556,2,1.730846,0.000000
batch,ns55,0,330,1493998097,2526258,47.140000,942.800000,81892,1019556,2,1.733421,0.000000
batch,ns55,0,335,1493998102,2529035,47.260000,945.200000,81892,1019556,2,1.726737,0.000000
batch,ns55,0,340,1493998107,2531613,47.260000,945.200000,81892,1019556,2,1.725908,0.000000
batch,ns55,0,345,1493998112,2532150,47.220000,944.400000,81892,1019556,2,1.734656,0.000000
batch,ns55,0,350,1493998117,2534449,47.240000,944.800000,81892,1019556,2,1.734488,0.000000
batch,ns55,0,355,1493998122,2536601,47.400000,948.000000,81892,1019556,2,1.734878,0.000000
batch,ns55,0,360,1493998127,2536927,47.770000,955.400000,81892,1019556,2,1.734948,0.000000
batch,ns55,0,365,1493998132,2539190,55.380000,1107.600000,130224,1432752,2,2.999831,0.006832
batch,ns55,0,370,1493998137,2540139,66.350000,1327.000000,130224,1432752,2,2.861685,0.000000
batch,ns55,0,375,1493998142,14887,75.210000,1504.200000,130224,1432752,2,2.865396,0.000000
batch,ns55,0,380,1493998147,125546,76.840000,1536.800000,130224,1432752,2,2.854188,0.000000
batch,ns55,0,385,1493998152,221992,72.010000,1440.200000,130224,1432752,2,2.826199,0.000000
batch,ns55,0,390,1493998157,312397,73.460000,1469.200000,130224,1432752,2,2.841399,0.000000
batch,ns55,0,395,1493998162,399494,76.120000,1522.400000,130224,1432752,2,2.850103,0.000000
batch,ns55,0,400,1493998167,482017,78.170000,1563.400000,130224,1432752,2,2.854864,0.000000
batch,ns55,0,405,1493998172,558749,78.500000,1570.000000,130328,1432752,2,2.847631,0.000000
batch,ns55,0,410,1493998177,628953,77.480000,1549.600000,130744,1432752,2,2.848948,0.000000
batch,ns55,0,415,1493998182,692236,74.610000,1492.200000,131368,1432752,2,2.832122,0.000000
batch,ns55,0,420,1493998187,752045,75.520000,1510.400000,131888,1432752,2,2.842037,0.000000
batch,ns55,0,425,1493998192,809214,76.170000,1523.400000,131888,1432752,2,2.850592,0.000000
batch,ns55,0,430,1493998197,864324,78.150000,1563.000000,131888,1432752,2,2.850333,0.000000
batch,ns55,0,435,1493998202,917433,80.010000,1600.200000,131888,1432756,2,2.851904,0.000000
batch,ns55,0,440,1493998207,967996,81.060000,1621.200000,131888,1432752,2,2.857885,0.000000
batch,ns55,0,445,1493998212,1015816,82.730000,1654.600000,131888,1432752,2,2.850183,0.000000
batch,ns55,0,450,1493998217,1062309,84.100000,1682.000000,131888,1432752,2,2.860420,0.000000
batch,ns55,0,455,1493998222,1106152,84.080000,1681.600000,131888,1432752,2,2.862556,0.000000
batch,ns55,0,460,1493998227,1146607,82.420000,1648.400000,131888,1432752,2,2.859251,0.000000
batch,ns55,0,465,1493998232,1185004,83.140000,1662.800000,131888,1432752,2,2.851006,0.000000
batch,ns55,0,470,1493998237,1221765,83.330000,1666.600000,131888,1432752,2,2.859271,0.000000
batch,ns55,0,475,1493998242,1257077,84.550000,1691.000000,131888,1432752,2,2.866597,0.000000
batch,ns55,0,480,1493998247,14256,84.920000,1698.400000,131888,1432752,2,2.860058,0.000000
batch,ns55,0,485,1493998252,77946,85.910000,1718.200000,191944,1919588,2,4.234707,0.008643
batch,ns55,0,490,1493998257,140626,88.270000,1765.400000,191944,1919588,2,4.249988,0.000000
batch,ns55,0,495,1493998262,203591,93.410000,1868.200000,191944,1919588,2,4.231800,0.000000
batch,ns55,0,500,1493998267,268421,101.320000,2026.400000,191944,1919588,2,4.197473,0.000000
batch,ns55,0,505,1493998272,326193,95.600000,1912.000000,191944,1919588,2,4.252934,0.000000
batch,ns55,0,510,1493998277,384625,101.600000,2032.000000,191944,1919588,2,4.215173,0.000000
batch,ns55,0,515,1493998282,440022,101.070000,2021.400000,191944,1919588,2,4.228909,0.000000
batch,ns55,0,520,1493998287,492295,100.370000,2007.400000,191944,1919592,2,4.227350,0.000000
batch,ns55,0,525,1493998292,543071,102.510000,2050.200000,192048,1919588,2,4.199239,0.000000
batch,ns55,0,530,1493998297,591323,102.160000,2043.200000,192256,1919588,2,4.213459,0.000000
batch,ns55,0,535,1493998302,633938,94.890000,1897.800000,193088,1919588,2,4.182527,0.000000
batch,ns55,0,540,1493998307,677607,101.350000,2027.000000,193608,1919588,2,4.202217,0.000000
batch,ns55,0,545,1493998312,720321,103.490000,2069.800000,193608,1919588,2,4.179894,0.000000
batch,ns55,0,550,1493998317,757910,95.640000,1912.800000,193608,1919588,2,4.238831,0.000000
batch,ns55,0,555,1493998322,792671,91.550000,1831.000000,193608,1919588,2,4.199845,0.000000
batch,ns55,0,560,1493998327,828500,98.140000,1962.800000,193608,1919588,2,4.150578,0.000000
batch,ns55,0,565,1493998332,6308,95.360000,1907.200000,193608,1919588,2,4.230268,0.000000
batch,ns55,0,570,1493998337,55504,97.020000,1940.400000,193608,1919588,2,4.185540,0.000000
batch,ns55,0,575,1493998342,103328,98.560000,1971.200000,193608,1919588,2,4.239917,0.000000
batch,ns55,0,580,1493998347,149860,99.620000,1992.400000,193608,1919588,2,4.213147,0.000000
batch,ns55,0,585,1493998352,195098,100.860000,2017.200000,193608,1919588,2,4.240452,0.000000
batch,ns55,0,590,1493998357,238294,99.230000,1984.600000,193608,1919588,2,4.220346,0.000000
batch,ns55,0,595,1493998362,280330,100.460000,2009.200000,193608,1919588,2,4.228586,0.000000
batch,ns55,0,600,1493998367,322532,104.520000,2090.400000,193608,1919588,2,4.194406,0.000000
batch,ns55,0,605,1493998372,361625,100.410000,2008.200000,265340,2479800,2,5.664669,0.010454
batch,ns55,0,610,1493998377,397219,94.100000,1882.000000,265340,2479800,2,5.898429,0.000000
batch,ns55,0,615,1493998382,433070,98.760000,1975.200000,265340,2479800,2,5.906614,0.000000
batch,ns55,0,620,1493998387,472017,110.780000,2215.600000,265340,2479800,2,5.805767,0.000000
batch,ns55,0,625,1493998392,509843,111.400000,2228.000000,265340,2479800,2,5.830965,0.000000
batch,ns55,0,630,1493998397,546744,112.510000,2250.200000,265340,2479800,2,5.816785,0.000000
batch,ns55,0,635,1493998402,582990,114.190000,2283.800000,265340,2479800,2,5.798313,0.000000
batch,ns55,0,640,1493998407,617282,112.820000,2256.400000,265340,2479800,2,5.821024,0.000000
batch,ns55,0,645,1493998412,8128,112.960000,2259.200000,265340,2479800,2,5.839656,0.000000
batch,ns55,0,650,1493998417,51591,114.090000,2281.800000,265652,2479800,2,5.814365,0.000000
batch,ns55,0,655,1493998422,93244,113.480000,2269.600000,266276,2479800,2,5.822148,0.000000
batch,ns55,0,660,1493998427,133565,113.480000,2269.600000,267004,2479800,2,5.787564,0.000000
batch,ns55,0,665,1493998432,172926,114.830000,2296.600000,267004,2479800,2,5.787919,0.000000
batch,ns55,0,670,1493998437,211068,114.170000,2283.400000,267004,2479800,2,5.810736,0.000000
batch,ns55,0,675,1493998442,248031,114.100000,2282.000000,267004,2479800,2,5.811979,0.000000
batch,ns55,0,680,1493998447,283210,112.960000,2259.200000,267004,2479800,2,5.840481,0.000000
batch,ns55,0,685,1493998452,317344,112.290000,2245.800000,267004,2479800,2,5.804864,0.000000
batch,ns55,0,690,1493998457,351105,114.250000,2285.000000,267004,2479800,2,5.813343,0.000000
batch,ns55,0,695,1493998462,383883,114.090000,2281.800000,267004,2479800,2,5.812192,0.000000
batch,ns55,0,700,1493998467,415720,114.440000,2288.800000,267004,2479800,2,5.812676,0.000000
batch,ns55,0,705,1493998472,446332,113.910000,2278.200000,267004,2479800,2,5.802996,0.000000
batch,ns55,0,710,1493998477,475830,112.530000,2250.600000,267004,2479800,2,5.815975,0.000000
batch,ns55,0,715,1493998482,504775,113.970000,2279.400000,267004,2479800,2,5.858787,0.000000
batch,ns55,0,720,1493998487,21573,114.450000,2289.000000,267004,2479800,2,5.792984,0.000000
batch,ns55,0,725,1493998492,54632,109.450000,2189.000000,350540,3113520,2,7.229281,0.012265
batch,ns55,0,730,1493998497,82462,94.960000,1899.200000,350540,3113520,2,7.857409,0.000000
batch,ns55,0,735,1493998502,111414,100.160000,2003.200000,350540,3113520,2,7.860765,0.000000
batch,ns55,0,740,1493998507,143618,114.680000,2293.600000,350540,3113520,2,7.766798,0.000000
