Step,Node,ElapsedTime,EpochTime,NodePower,Step,Node,Series,ElapsedTime,EpochTime,CPUFrequency,CPUTime,CPUUtilization,RSS,VMSize,Pages,ReadMB,WriteMB,Util,Run,Progress
batch,ns55,0,1493997767,48,batch,ns55,0,0,1493997767,2601000,0.000000,0.000000,3108,298624,0,0.000000,0.000000,0,0,0
batch,ns55,5,1493997772,84,batch,ns55,0,5,1493997772,2601000,0.390000,7.800000,15304,413688,2,0.490919,0.002621,0.4875,0,5
batch,ns55,15,1493997782,63,batch,ns55,0,15,1493997782,1300500,1.010000,20.200000,15304,413688,2,0.279300,0.000000,1.2625,0,15
batch,ns55,25,1493997792,69,batch,ns55,0,25,1493997792,650250,0.990000,19.800000,15304,413688,2,0.279174,0.000000,1.2375,0,25
batch,ns55,35,1493997802,63,batch,ns55,0,35,1493997802,520200,0.980000,19.600000,15304,413688,2,0.279433,0.000000,1.225,0,35
batch,ns55,45,1493997812,69,batch,ns55,0,45,1493997812,371571,0.970000,19.400000,15304,413688,2,0.279682,0.000000,1.2125,0,45
batch,ns55,55,1493997822,63,batch,ns55,0,55,1493997822,289000,0.990000,19.800000,15304,413688,2,0.279366,0.000000,1.2375,0,55
batch,ns55,70,1493997837,57,batch,ns55,0,70,1493997837,216750,0.970000,19.400000,15304,413688,2,0.274086,0.000000,1.2125,0,70
batch,ns55,80,1493997847,57,batch,ns55,0,80,1493997847,185785,0.950000,19.000000,15304,413688,2,0.279507,0.000000,1.1875,0,80
batch,ns55,90,1493997857,48,batch,ns55,0,90,1493997857,162562,0.930000,18.600000,15304,413688,2,0.279503,0.000000,1.1625,0,90
batch,ns55,100,1493997867,57,batch,ns55,0,100,1493997867,289000,0.910000,18.200000,15304,413688,2,0.279958,0.000000,1.1375,0,100
batch,ns55,110,1493997877,66,batch,ns55,0,110,1493997877,260100,0.940000,18.800000,15304,413688,2,0.274915,0.000000,1.175,0,110
batch,ns55,120,1493997887,63,batch,ns55,0,120,1493997887,354681,1.000000,20.000000,15304,413688,2,0.280342,0.000000,1.25,0,120
batch,ns55,130,1493997897,144,batch,ns55,0,130,1493997897,1362428,12.110000,242.200000,40268,679868,2,0.856889,0.000000,15.1375,1,9.5
batch,ns55,140,1493997907,189,batch,ns55,0,140,1493997907,1852767,16.410000,328.200000,40996,679868,2,0.856802,0.000000,20.5125,1,19.5
batch,ns55,150,1493997917,84,batch,ns55,0,150,1493997917,2080800,16.120000,322.400000,41516,679868,2,0.848168,0.000000,20.15,1,29.5
batch,ns55,160,1493997927,123,batch,ns55,0,160,1493997927,2186347,16.140000,322.800000,41516,679868,2,0.858951,0.000000,20.175,1,39.5
batch,ns55,175,1493997942,129,batch,ns55,0,175,1493997942,2293354,16.340000,326.800000,41932,679868,2,0.858768,0.000000,20.425,1,54.5
batch,ns55,185,1493997952,69,batch,ns55,0,185,1493997952,2327835,16.190000,323.800000,43388,679868,2,0.856652,0.000000,20.2375,1,64.5
batch,ns55,195,1493997962,84,batch,ns55,0,195,1493997962,2362661,16.240000,324.800000,43596,679868,2,0.855524,0.000000,20.3,1,74.5
batch,ns55,205,1493997972,57,batch,ns55,0,205,1493997972,2380420,15.850000,317.000000,43596,679868,2,0.852815,0.000000,19.8125,1,84.5
batch,ns55,215,1493997982,72,batch,ns55,0,215,1493997982,2394571,16.040000,320.800000,43596,679868,2,0.855652,0.000000,20.05,1,94.5
batch,ns55,225,1493997992,165,batch,ns55,0,225,1493997992,2406112,15.570000,311.400000,43596,679868,2,0.856370,0.000000,19.4625,1,104.5
batch,ns55,235,1493998002,174,batch,ns55,0,235,1493998002,2421620,15.340000,306.800000,43596,679868,2,0.852537,0.000000,19.175,1,114.5
batch,ns55,245,1493998012,180,batch,ns55,0,245,1493998012,2433792,27.040000,540.800000,80228,1019556,2,1.940589,0.005021,33.8,2,4
batch,ns55,255,1493998022,150,batch,ns55,0,255,1493998022,2456500,44.450000,889.000000,80228,1019556,2,1.737381,0.000000,55.5625,2,14
batch,ns55,265,1493998032,93,batch,ns55,0,265,1493998032,2475494,48.230000,964.600000,80228,1019556,2,1.733388,0.000000,60.2875,2,24
batch,ns55,280,1493998047,90,batch,ns55,0,280,1493998047,2496402,48.500000,970.000000,80228,1019556,2,1.735318,0.000000,60.625,2,39
batch,ns55,290,1493998057,192,batch,ns55,0,290,1493998057,2508327,48.300000,966.000000,80748,1019556,2,1.725870,0.000000,60.375,2,49
batch,ns55,300,1493998067,192,batch,ns55,0,300,1493998067,2515039,47.640000,952.800000,81788,1019556,2,1.735095,0.000000,59.55,2,59
batch,ns55,310,1493998077,138,batch,ns55,0,310,1493998077,2517747,45.840000,916.800000,81892,1019556,2,1.734434,0.000000,57.3,2,69
batch,ns55,320,1493998087,180,batch,ns55,0,320,1493998087,2522322,46.710000,934.200000,81892,1019556,2,1.732832,0.000000,58.3875,2,79
batch,ns55,330,1493998097,135,batch,ns55,0,330,1493998097,2526258,47.140000,942.800000,81892,1019556,2,1.733421,0.000000,58.925,2,89
batch,ns55,340,1493998107,189,batch,ns55,0,340,1493998107,2531613,47.260000,945.200000,81892,1019556,2,1.725908,0.000000,59.075,2,99
batch,ns55,350,1493998117,207,batch,ns55,0,350,1493998117,2534449,47.240000,944.800000,81892,1019556,2,1.734488,0.000000,59.05,2,109
batch,ns55,360,1493998127,168,batch,ns55,0,360,1493998127,2536927,47.770000,955.400000,81892,1019556,2,1.734948,0.000000,59.7125,2,119
batch,ns55,370,1493998137,174,batch,ns55,0,370,1493998137,2540139,66.350000,1327.000000,130224,1432752,2,2.861685,0.000000,82.9375,3,8.5
batch,ns55,385,1493998152,186,batch,ns55,0,385,1493998152,221992,72.010000,1440.200000,130224,1432752,2,2.826199,0.000000,90.0125,3,23.5
batch,ns55,395,1493998162,207,batch,ns55,0,395,1493998162,399494,76.120000,1522.400000,130224,1432752,2,2.850103,0.000000,95.15,3,33.5
batch,ns55,405,1493998172,198,batch,ns55,0,405,1493998172,558749,78.500000,1570.000000,130328,1432752,2,2.847631,0.000000,98.125,3,43.5
batch,ns55,415,1493998182,222,batch,ns55,0,415,1493998182,692236,74.610000,1492.200000,131368,1432752,2,2.832122,0.000000,93.2625,3,53.5
batch,ns55,425,1493998192,207,batch,ns55,0,425,1493998192,809214,76.170000,1523.400000,131888,1432752,2,2.850592,0.000000,95.2125,3,63.5
batch,ns55,435,1493998202,207,batch,ns55,0,435,1493998202,917433,80.010000,1600.200000,131888,1432756,2,2.851904,0.000000,100.013,3,73.5
batch,ns55,445,1493998212,204,batch,ns55,0,445,1493998212,1015816,82.730000,1654.600000,131888,1432752,2,2.850183,0.000000,103.412,3,83.5
batch,ns55,455,1493998222,213,batch,ns55,0,455,1493998222,1106152,84.080000,1681.600000,131888,1432752,2,2.862556,0.000000,105.1,3,93.5
batch,ns55,465,1493998232,192,batch,ns55,0,465,1493998232,1185004,83.140000,1662.800000,131888,1432752,2,2.851006,0.000000,103.925,3,103.5
batch,ns55,475,1493998242,198,batch,ns55,0,475,1493998242,1257077,84.550000,1691.000000,131888,1432752,2,2.866597,0.000000,105.688,3,113.5
batch,ns55,490,1493998257,204,batch,ns55,0,490,1493998257,140626,88.270000,1765.400000,191944,1919588,2,4.249988,0.000000,110.338,4,8
batch,ns55,500,1493998267,210,batch,ns55,0,500,1493998267,268421,101.320000,2026.400000,191944,1919588,2,4.197473,0.000000,126.65,4,18
batch,ns55,510,1493998277,219,batch,ns55,0,510,1493998277,384625,101.600000,2032.000000,191944,1919588,2,4.215173,0.000000,127,4,28
batch,ns55,520,1493998287,222,batch,ns55,0,520,1493998287,492295,100.370000,2007.400000,191944,1919592,2,4.227350,0.000000,125.463,4,38
batch,ns55,530,1493998297,213,batch,ns55,0,530,1493998297,591323,102.160000,2043.200000,192256,1919588,2,4.213459,0.000000,127.7,4,48
batch,ns55,540,1493998307,219,batch,ns55,0,540,1493998307,677607,101.350000,2027.000000,193608,1919588,2,4.202217,0.000000,126.688,4,58
batch,ns55,550,1493998317,219,batch,ns55,0,550,1493998317,757910,95.640000,1912.800000,193608,1919588,2,4.238831,0.000000,119.55,4,68
batch,ns55,560,1493998327,213,batch,ns55,0,560,1493998327,828500,98.140000,1962.800000,193608,1919588,2,4.150578,0.000000,122.675,4,78
batch,ns55,570,1493998337,219,batch,ns55,0,570,1493998337,55504,97.020000,1940.400000,193608,1919588,2,4.185540,0.000000,121.275,4,88
batch,ns55,580,1493998347,222,batch,ns55,0,580,1493998347,149860,99.620000,1992.400000,193608,1919588,2,4.213147,0.000000,124.525,4,98
batch,ns55,595,1493998362,201,batch,ns55,0,595,1493998362,280330,100.460000,2009.200000,193608,1919588,2,4.228586,0.000000,125.575,4,113
batch,ns55,605,1493998372,207,batch,ns55,0,605,1493998372,361625,100.410000,2008.200000,265340,2479800,2,5.664669,0.010454,125.513,5,2.5
batch,ns55,615,1493998382,207,batch,ns55,0,615,1493998382,433070,98.760000,1975.200000,265340,2479800,2,5.906614,0.000000,123.45,5,12.5
batch,ns55,625,1493998392,201,batch,ns55,0,625,1493998392,509843,111.400000,2228.000000,265340,2479800,2,5.830965,0.000000,139.25,5,22.5
batch,ns55,635,1493998402,216,batch,ns55,0,635,1493998402,582990,114.190000,2283.800000,265340,2479800,2,5.798313,0.000000,142.738,5,32.5
batch,ns55,645,1493998412,213,batch,ns55,0,645,1493998412,8128,112.960000,2259.200000,265340,2479800,2,5.839656,0.000000,141.2,5,42.5
batch,ns55,655,1493998422,222,batch,ns55,0,655,1493998422,93244,113.480000,2269.600000,266276,2479800,2,5.822148,0.000000,141.85,5,52.5
batch,ns55,665,1493998432,213,batch,ns55,0,665,1493998432,172926,114.830000,2296.600000,267004,2479800,2,5.787919,0.000000,143.537,5,62.5
batch,ns55,675,1493998442,213,batch,ns55,0,675,1493998442,248031,114.100000,2282.000000,267004,2479800,2,5.811979,0.000000,142.625,5,72.5
batch,ns55,685,1493998452,210,batch,ns55,0,685,1493998452,317344,112.290000,2245.800000,267004,2479800,2,5.804864,0.000000,140.363,5,82.5
batch,ns55,690,1493998457,213,batch,ns55,0,690,1493998457,351105,114.250000,2285.000000,267004,2479800,2,5.813343,0.000000,142.812,5,87.5
batch,ns55,700,1493998467,216,batch,ns55,0,700,1493998467,415720,114.440000,2288.800000,267004,2479800,2,5.812676,0.000000,143.05,5,97.5
batch,ns55,710,1493998477,204,batch,ns55,0,710,1493998477,475830,112.530000,2250.600000,267004,2479800,2,5.815975,0.000000,140.662,5,107.5
batch,ns55,720,1493998487,216,batch,ns55,0,720,1493998487,21573,114.450000,2289.000000,267004,2479800,2,5.792984,0.000000,143.062,5,117.5
batch,ns55,730,1493998497,213,batch,ns55,0,730,1493998497,82462,94.960000,1899.200000,350540,3113520,2,7.857409,0.000000,118.7,6,7
